Concat	MutantID	Plate	NR Well Location	NR Well Location	R Well Location	Genomic Location	Chromosome Location	Gene Description	Gene Name	Gene Role	% into ORF	Direction of Transposon in ORF (see materials and methods)	BLAST Score	Next Best BLAST Score	Levenshtein Distance	Ambiguous location ('yes' if difference between BLAST scores is 0 or if Levenshtein Distance > 4)
1H11	EC446	1	H11	H	11	2063269	1	"integration host factor, beta subunit"	hipB	Regulatory functions	92.8	-	313	0	0	
1C12	EC504	1	C12	C	12	2068912	1	DNA-binding protein HU-beta	hupB	DNA metabolism	100	-	753	0	0	
1C11	EC392	1	C11	C	11	2092892	1	hypothetical protein			5.7	+	168	0	0	
1H4	EC340	1	H4	H	4	2138700	1	long-chain-fatty-acid--CoA ligase	fadD	Fatty acid and phospholipid metabolism	6	-	351	0	0	
1H5	EC139	1	H5	H	5	2161192	1	pyruvate kinase II	pykA-1	Energy metabolism	13.9	+	385	40.1	0	
1F12	EC540	1	F12	F	12	2251573	1	"succinate dehydrogenase, flavoprotein subunit"	sdhA	Energy metabolism	26.5	-	565	0	0	
1D2	EC157	1	D2	D	2	2281318	1	"flagellar hook-length control protein FliK, putative"		Cellular processes	67.7	-	928	0	0	
1H2	EC261	1	H2	H	2	2341858	1	flagellar L-ring protein FlgH	flgH	Cellular processes	65.8	-	892	0	0	
1F9	EC455	1	F9	F	9	2462722	1	HesA/MoeB/ThiF family protein		Unknown function	8.6	+	841	0	0	
1B10	EC589	1	B10	B	10	2515453	1	uracil-DNA glycosylase	ung	DNA metabolism	16.1	+	656	0	0	
1E5	EC95	1	E5	E	5	2572235	1	UDP-N-acetylmuramoylalanine--D-glutamate ligase	murD	Cell envelope	99.3	+	470	0	0	
1E11	EC408	1	E11	E	11	2634845	1	sensor histidine kinase/response regulator		Regulatory functions	8.8	+	133	0	0	
1D12	EC534	1	D12	D	12	2654370	1	conserved hypothetical protein		Hypothetical proteins	42.9	+	174	0	0	
1H3	EC146	1	H3	H	3	2658489	1	conserved hypothetical protein		Hypothetical proteins	15.5	+	141	0	0	
1B12	EC498	1	B12	B	12	2795874	1	phosphoglycolate phosphatase	gph	Energy metabolism	32.2	-	916	0	0	
1A3	EC303	1	A3	A	3	2829869	1	"fumarate reductase, 13 kDa hydrophobic protein"	frdD	Energy metabolism	46.4	+	509	0	0	
1C8	EC322	1	C8	C	8	2836564	1	conserved hypothetical protein		Hypothetical proteins	16.8	+	1009	0	0	
1E2	EC203	1	E2	E	2	4901	2	conserved hypothetical protein		Hypothetical proteins	12.8	-	1172	0	0	
1B9	EC399	1	B9	B	9	54832	2	hypothetical protein			12.3	+	545	119	0	
1D4	EC256	1	D4	D	4	101224	2	hypothetical protein			11.6	-	1144	0	0	
1E3	EC62	1	E3	E	3	131308	2	hypothetical protein			18.8	-	1021	0	0	
1C6	EC235	1	C6	C	6	154329	2	spindolin-related protein		Energy metabolism	37.6	+	266	0	1	
1G3	EC102	1	G3	G	3	170331	2	conserved hypothetical protein		Hypothetical proteins	12	+	1096	0	0	
1B2	EC151	1	B2	B	2	211783	2	"potassium channel protein, putative"		Transport and binding proteins	17.8	+	549	0	0	
1G11	EC442	1	G11	G	11	284022	2	multidrug resistance protein D	emrD-3	Transport and binding proteins	36.1	-	458	0	0	
1B8	EC316	1	B8	B	8	292592	2	IS1004 transposase	tnpA	Mobile and extrachromosomal element functions	24.7	+	1072	462	0	
1E4	EC262	1	E4	E	4	320035	2	deoxyguanosinetriphosphate triphosphohydrolase-related protein		Unknown function	5.8	+	422	178	0	
1G2	EC247	1	G2	G	2	340136	2	hypothetical protein			43.4	+	115	105	0	
1C1	EC67	1	C1	C	1	373560	2	hypothetical protein			8.3	-	672	0	0	
1G4	EC312	1	G4	G	4	463998	2	"potassium uptake protein, Kup system"	kup	Transport and binding proteins	16.6	-	842	0	0	
1B1	EC9	1	B1	B	1	487852	2	hypothetical protein			66.5	-	153	0	0	
1E10	EC673	1	E10	E	10	511415	2	conserved hypothetical protein		Hypothetical proteins	11.3	+	335	0	0	
1F4	EC302	1	F4	F	4	619050	2	sensor protein UhpB	uhpB	Regulatory functions	39.2	+	666	0	0	
1H7	EC230	1	H7	H	7	679125	2	hypothetical protein			16.8	+	654	0	0	
1F6	EC321	1	F6	F	6	680172	2	hypothetical protein			56.9	-	331	0	0	
1G5	EC135	1	G5	G	5	742827	2	inosine-guanosine kinase	gsk-2	"Purines, pyrimidines, nucleosides, and nucleotides"	70.4	-	252	0	0	
1G12	EC552	1	G12	G	12	834541	2	hypothetical protein			97.9	+	309	0	0	
1A11	EC727	1	A11	A	11	834866	2	hypothetical protein			26.1	+	924	0	0	
1D10	EC641	1	D10	D	10	853140	2	"6-phosphogluconate dehydrogenase, decarboxylating"	gnd	Energy metabolism	47.5	-	785	0	0	
1D11	EC404	1	D11	D	11	894222	2	"maltose ABC transporter, permease protein"	malG	Transport and binding proteins	14.2	-	404	0	0	
1B6	EC227	1	B6	B	6	916075	2	hypothetical protein			100	-	359	0	5	
1A5	EC342	1	A5	A	5	977502	2	glycogen operon protein GlgX	glgX	Energy metabolism	6.1	+	212	0	0	
1F1	EC105	1	F1	F	1	1003597	2	conserved hypothetical protein		Hypothetical proteins	21.8	+	309	0	0	
1H10	EC725	1	H10	H	10	1037641	2	toxin secretion ATP-binding protein		Transport and binding proteins	16	+	480	0	1	
1H12	EC582	1	H12	H	12	1058551	2	conserved hypothetical protein		Hypothetical proteins	14.8	+	1124	0	0	
2B2	EC427	2	B2	B	2	50274	1	Sua5/YciO/YrdC family protein		Unknown function	29.6	+	1009	0	0	
2H3	EC476	2	H3	H	3	51010	1	"coproporphyrinogen III oxidase, aerobic"	hemF	"Biosynthesis of cofactors, prosthetic groups, and carriers"	35.2	-	928	0	0	
2D4	EC518	2	D4	D	4	98473	1	glpG protein	glpG	Central intermediary metabolism	36.4	+	291	0	0	
2E2	EC517	2	E2	E	2	176605	1	deoxycytidylate deaminase-related protein		Unknown function	20.9	+	502	0	0	
2G4	EC602	2	G4	G	4	227447	1	formamidopyrimidine-DNA glycosylase	mutM	DNA metabolism	10.3	-	511	0	0	
2G9	EC853	2	G9	G	9	277983	1	conserved hypothetical protein		Hypothetical proteins	7	+	190	0	2	
2F4	EC572	2	F4	F	4	282245	1	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	"Purines, pyrimidines, nucleosides, and nucleotides"	14.5	+	862	0	0	
2D5	EC666	2	D5	D	5	291780	1	hypothetical protein			22.4	+	722	0	0	
2C2	EC465	2	C2	C	2	296571	1	thermoresistant gluconokinase	gntV	Energy metabolism	40	-	799	0	0	
2B4	EC514	2	B4	B	4	499391	1	extracellular deoxyribonuclease	dns	DNA metabolism	5.6	+	706	0	0	
2F12	EC1155	2	F12	F	12	528360	1	conserved hypothetical protein		Hypothetical proteins	8.2	+	329	95.6	0	
2A12	EC956	2	A12	A	12	600683	1	protease DO	htrA	Protein fate	23.5	+	351	0	0	
2F10	EC1055	2	F10	F	10	699709	1	conserved hypothetical protein		Hypothetical proteins	13	-	1104	0	3	
2G1	EC734	2	G1	G	1	758135	1	ribosomal large subunit pseudouridine synthase D	rluD	Protein synthesis	29.3	-	474	0	0	
2G11	EC938	2	G11	G	11	826302	1	vibriobactin-specific isochorismatase	vibB	Transport and binding proteins	11.6	+	523	0	0	
2H10	EC1135	2	H10	H	10	923667	1	dnaJ protein	dnaJ	Protein fate	99	+	252	0	0	
2H8	EC980	2	H8	H	8	1151441	1	sensor histidine kinase		Regulatory functions	9	+	1203	0	0	
2E9	EC795	2	E9	E	9	1159085	1	"oligopeptide ABC transporter, periplasmic oligopeptide-binding protein"	oppA	Transport and binding proteins	25.4	+	274	0	0	
2C5	EC664	2	C5	C	5	1171285	1	conserved hypothetical protein		Hypothetical proteins	58.8	-	1102	0	0	
2C12	EC1054	2	C12	C	12	1271057	1	conserved hypothetical protein		Hypothetical proteins	24.6	+	567	0	2	
2D11	EC848	2	D11	D	11	1280348	1	formiminoglutamase	hutG	Energy metabolism	21.1	+	601	0	1	
2C8	EC1125	2	C8	C	8	1304522	1	"membrane protein, putative"		Cell envelope	43.6	-	204	0	0	
2F8	EC916	2	F8	F	8	1315914	1	hypothetical protein			31.5	+	571	0	0	
2F6	EC865	2	F6	F	6	1333339	1	conserved hypothetical protein		Hypothetical proteins	23.3	+	335	0	0	
2H6	EC879	2	H6	H	6	1349625	1	conserved hypothetical protein		Hypothetical proteins	18.7	-	373	71.9	0	
2D7	EC971	2	D7	D	7	1405953	1	hypothetical protein			39	+	529	0	0	
2B6	EC787	2	B6	B	6	1408486	1	hypothetical protein			19.2	+	81.8	0	0	
2B7	EC931	2	B7	B	7	1413488	1	opacity protein-related protein			45.4	+	406	0	0	
2H4	EC622	2	H4	H	4	1422236	1	aconitate hydratase 1	acnA	Energy metabolism	7.4	+	1070	0	0	
2D10	EC1045	2	D10	D	10	1492123	1	protein-glutamate methylesterase CheB	cheB-1	Cellular processes	14.8	+	874	0	0	
2A9	EC1014	2	A9	A	9	1524282	1	"spermidine/putrescine ABC transporter, permease protein"	potC	Transport and binding proteins	85.8	+	934	0	10	
2G12	EC1163	2	G12	G	12	1569331	1	zona occludens toxin	zot	Cellular processes	6.5	+	1023	0	0	
2C11	EC814	2	C11	C	11	1586071	1	hypothetical protein			6	+	476	0	0	
2E12	EC1150	2	E12	E	12	1657118	1	hypothetical protein			10.5	-	375	0	0	
2H1	EC413	2	H1	H	1	1684831	1	"fumarate hydratase, class II, aerobic"	fumC	Energy metabolism	22.3	+	1191	0	0	
2H12	EC1207	2	H12	H	12	1723612	1	conserved hypothetical protein		Hypothetical proteins	66.2	-	932	0	0	
2G2	EC527	2	G2	G	2	1765187	1	sensor histidine kinase		Regulatory functions	19.5	+	349	0	0	
2E8	EC880	2	E8	E	8	1799837	1	pseudouridine synthase Rlu family protein		Protein synthesis	68.8	+	422	0	0	
2G7	EC1069	2	G7	G	7	1809845	1	"periplasmic linker protein, putative"		Protein fate	14.4	+	490	0	0	
2E10	EC1053	2	E10	E	10	1829754	1	"formate transporter 1, putative"		Transport and binding proteins	42.7	+	585	0	0	
2H2	EC651	2	H2	H	2	1871914	1	hypothetical protein			50.7	+	837	0	0	
2E7	EC1027	2	E7	E	7	1937027	1	hypothetical protein			71.5	-	381	0	0	
2H11	EC940	2	H11	H	11	1946692	1	hypothetical protein			44.4	-	1231	0	0	
2C4	EC516	2	C4	C	4	1964425	1	"PTS system, fructose-specific IIABC component"	frwABC	Transport and binding proteins	24.9	+	464	0	0	
2E6	EC833	2	E6	E	6	1965710	1	"PTS system, nitrogen regulatory IIA component, putative"		Transport and binding proteins	37.2	+	133	0	0	
2A11	EC1141	2	A11	A	11	1982051	1	"cytochrome d ubiquinol oxidase, subunit II"	cydB-1	Energy metabolism	68.6	+	704	0	0	
2H7	EC1109	2	H7	H	7	2041021	1	conserved hypothetical protein		Hypothetical proteins	46.1	+	464	0	0	
2B1	EC592	2	B1	B	1	2233130	1	histidine triad family protein		Unknown function	72	+	462	0	1	
2G10	EC1093	2	G10	G	10	2235715	1	ferrous iron transport protein B	feoB	Transport and binding proteins	13.1	+	500	0	0	
2D12	EC1090	2	D12	D	12	2259511	1	hypothetical protein			49.3	-	115	0	0	
2E3	EC460	2	E3	E	3	2333271	1	flagellin FlaC	flaC	Cellular processes	73.4	-	912	161	0	
2A8	EC1115	2	A8	A	8	2424503	1	"3,4-dihydroxy-2-butanone 4-phosphate synthase/GTP cyclohydrolase II"	ribB/A	"Biosynthesis of cofactors, prosthetic groups, and carriers"	10.9	-	373	101	0	
2C3	EC757	2	C3	C	3	2458833	1	2-dehydropantoate 2-reductase	panE	"Biosynthesis of cofactors, prosthetic groups, and carriers"	6.7	-	418	0	2	
2A5	EC658	2	A5	A	5	2478720	1	hypothetical protein			7.1	-	1281	0	0	
2F2	EC525	2	F2	F	2	2524813	1	aerobic respiration control protein FexA	fexA	Regulatory functions	37	-	710	0	0	
2C7	EC965	2	C7	C	7	2528996	1	sensory box/GGDEF family protein		Regulatory functions	30.7	-	959	0	1	
2F3	EC464	2	F3	F	3	2681468	1	hypothetical protein			89	-	636	632	0	
2A6	EC785	2	A6	A	6	2704013	1	"anti-sigma B factor antagonist, putative"		Regulatory functions	65.9	+	731	0	5	
2A3	EC653	2	A3	A	3	2718464	1	conserved hypothetical protein		Hypothetical proteins	22.7	+	488	0	0	
2F7	EC1063	2	F7	F	7	2770853	1	sodium-type flagellar protein MotX	motX	Cellular processes	45.2	+	928	0	1	
2F9	EC811	2	F9	F	9	2779559	1	hypothetical protein			66.1	-	983	0	5	
2C1	EC634	2	C1	C	1	2815855	1	acetylglutamate kinase	argB	Amino acid biosynthesis	18.9	-	831	0	0	
2C10	EC1005	2	C10	C	10	2842459	1	"protease HslVU, ATPase subunit HslU"	hslU	Protein fate	7	+	313	0	0	
2D9	EC1110	2	D9	D	9	2850019	1	met repressor	metJ	Regulatory functions	6.3	+	165	133	0	
2A10	EC903	2	A10	A	10	2899863	1	general secretion pathway protein K	epsK	Protein fate	49.8	-	141	0	0	
2E11	EC856	2	E11	E	11	2900414	1	general secretion pathway protein J	epsJ	Protein fate	90.6	+	420	0	0	
2D8	EC878	2	D8	D	8	2910106	1	phosphoenolpyruvate carboxykinase	pckA	Energy metabolism	5.4	+	444	0	0	
2B9	EC1058	2	B9	B	9	92175	2	GGDEF family protein		Unknown function	11.1	+	710	0	1	
2D1	EC636	2	D1	D	1	103251	2	hypothetical protein			7.1	+	1013	0	0	
2A4	EC508	2	A4	A	4	116887	2	conserved hypothetical protein		Hypothetical proteins	8.5	-	367	0	2	
2B10	EC997	2	B10	B	10	122275	2	hypothetical protein			13.7	+	1122	0	0	
2C6	EC791	2	C6	C	6	184352	2	cold shock transcriptional regulator CspA	cspA	Regulatory functions	43.8	+	726	77.8	4	
2E4	EC560	2	E4	E	4	235183	2	GGDEF family protein		Unknown function	5.7	-	206	0	0	
2H9	EC859	2	H9	H	9	240246	2	hemolysin secretion protein HylB	hylB	Transport and binding proteins	8.1	-	591	0	0	
2B8	EC1117	2	B8	B	8	277479	2	sensor histidine kinase		Regulatory functions	65.8	+	167	0	0	
2F11	EC904	2	F11	F	11	282673	2	hypothetical protein			98.4	+	446	0	8	
2A2	EC423	2	A2	A	2	322240	2	hypothetical protein			20.5	-	599	222	0	
2G3	EC472	2	G3	G	3	323612	2	MutT/nudix family protein		DNA metabolism	27.4	-	795	220	0	
2B3	EC659	2	B3	B	3	346645	2	conserved hypothetical protein		Hypothetical proteins	12.6	-	369	0	0	
2G6	EC877	2	G6	G	6	384208	2	"acetyltransferase, putative"		Central intermediary metabolism	51.1	+	898	579	0	
2E5	EC670	2	E5	E	5	392133	2	hypothetical protein			47	+	408	208	1	
2A1	EC590	2	A1	A	1	429028	2	"hypothetical protein, interruption"		Disrupted reading frame	86.3	-	347	210	0	
2G5	EC754	2	G5	G	5	442672	2	anaerobic ribonucleoside-triphosphate reductase activating protein	nrdG	"Purines, pyrimidines, nucleosides, and nucleotides"	55.2	-	448	0	0	
2B11	EC796	2	B11	B	11	527288	2	"peptide ABC transporter, permease protein, putative"		Transport and binding proteins	18	-	406	0	0	
2F1	EC726	2	F1	F	1	611826	2	iron-sulfur cluster-binding protein NapF	napF	Energy metabolism	23.3	+	815	0	0	
2A7	EC885	2	A7	A	7	710115	2	cytochrome c554		Energy metabolism	9.3	+	337	0	0	
2B5	EC662	2	B5	B	5	715778	2	methyl-accepting chemotaxis protein		Cellular processes	34.4	+	365	0	0	
2F5	EC700	2	F5	F	5	726693	2	"ABC transporter, ATP-binding protein"		Transport and binding proteins	29.1	+	46.1	46.1	0	yes
2D3	EC765	2	D3	D	3	754866	2	conserved hypothetical protein		Hypothetical proteins	7.8	-	1023	0	0	
2D2	EC507	2	D2	D	2	779440	2	hypothetical protein			35.7	+	256	0	0	
2G8	EC928	2	G8	G	8	785974	2	glyceraldehyde 3-phosphate dehydrogenase	gapA-2	Energy metabolism	15.9	+	394	42.1	0	
2H5	EC758	2	H5	H	5	833063	2	hypothetical protein			100	-	391	0	0	
2C9	EC1060	2	C9	C	9	982266	2	hypothetical protein			19.9	+	739	0	0	
2E1	EC676	2	E1	E	1	1028399	2	hypothetical protein			13.7	-	438	0	0	
2D6	EC817	2	D6	D	6	1053090	2	conserved hypothetical protein		Hypothetical proteins	23.6	+	311	0	0	
3F1	EC1353	3	F1	F	1	33208	1	thiol:disulfide interchange protein	tpcG	Protein fate	5.9	+	737	0	0	
3E12	EC1738	3	E12	E	12	40616	1	potassium uptake protein TrkA	trkA	Transport and binding proteins	95.7	+	975	0	0	
3G5	EC1437	3	G5	G	5	94657	1	chorismate--pyruvate lyase	ubiC	"Biosynthesis of cofactors, prosthetic groups, and carriers"	39	-	870	0	0	
3C3	EC1362	3	C3	C	3	103989	1	DNA polymerase I	polI	DNA metabolism	31.7	+	174	0	0	
3E10	EC1743	3	E10	E	10	119012	1	lipopeptide	lppL	Cell envelope	13.4	+	936	52	0	
3C1	EC1299	3	C1	C	1	148776	1	alkaline serine protease		Protein fate	6.9	-	807	0	0	
3D5	EC1391	3	D5	D	5	218839	1	orotate phosphoribosyltransferase	pyrE	"Purines, pyrimidines, nucleosides, and nucleotides"	27	-	571	0	0	
3H4	EC1337	3	H4	H	4	229101	1	"ADP-heptose--LPS heptosyltransferase II, putative"		Cell envelope	21.5	+	462	0	0	
3H6	EC1242	3	H6	H	6	260601	1	IS1004 transposase-related protein		Unknown function	55	+	1041	174	1	
3A8	EC1426	3	A8	A	8	283495	1	"transcriptional activator CadC, putative"		Regulatory functions	10.2	+	644	0	0	
3B8	EC1484	3	B8	B	8	374409	1	slyX protein	slyX	Unknown function	23.3	-	894	0	1	
3C12	EC1652	3	C12	C	12	477880	1	DnaJ-related protein		Unknown function	57.3	-	825	0	0	
3B1	EC1253	3	B1	B	1	498414	1	conserved hypothetical protein		Hypothetical proteins	25	+	692	0	0	
3A2	EC1405	3	A2	A	2	512244	1	LysE/YggA family protein		Transport and binding proteins	15.2	-	145	0	0	
3E6	EC1192	3	E6	E	6	527878	1	hypothetical protein			4.5	+	769	0	0	
3E2	EC1491	3	E2	E	2	535486	1	conserved hypothetical protein		Hypothetical proteins	5.4	-	825	0	0	
3F7	EC1382	3	F7	F	7	629180	1	penicillin-binding protein 1B	mrcB	Cell envelope	18	-	418	0	0	
3G1	EC1357	3	G1	G	1	641936	1	"iron(III) ABC transporter, ATP-binding protein"		Transport and binding proteins	27.7	-	841	40.1	1	
3H8	EC1532	3	H8	H	8	664711	1	"glutamate-1-semialdehyde 2,1-aminomutase"	hemL	"Biosynthesis of cofactors, prosthetic groups, and carriers"	65.7	-	634	0	0	
3D9	EC1585	3	D9	D	9	725258	1	transcriptional activator HlyU	hlyU	Regulatory functions	34.3	+	252	0	0	
3G8	EC1522	3	G8	G	8	843287	1	"D-amino acid dehydrogenase, small subunit"	dadA	Energy metabolism	27.1	+	466	0	0	
3C9	EC1553	3	C9	C	9	860613	1	hypothetical protein			32.6	-	97.6	0	0	
3C8	EC1486	3	C8	C	8	915819	1	conserved hypothetical protein		Hypothetical proteins	97.2	+	440	0	0	
3G2	EC1212	3	G2	G	2	999332	1	"capsular polysaccharide biosynthesis glycosyltransferase, putative"		Cell envelope	6.3	+	141	0	0	
3B6	EC1523	3	B6	B	6	1001924	1	polysaccharide export-related protein			2.2	+	325	0	0	
3D3	EC1394	3	D3	D	3	1008296	1	"lipoprotein, putative"		Cell envelope	100	-	954	67.9	0	
3H3	EC1490	3	H3	H	3	1010228	1	lipoate-protein ligase B	lipB	"Biosynthesis of cofactors, prosthetic groups, and carriers"	31.4	-	186	0	0	
3H5	EC1471	3	H5	H	5	1130404	1	"transcriptional regulator, AsnC family"		Regulatory functions	73.6	-	763	0	0	
3D8	EC1514	3	D8	D	8	822421	1	adenylosuccinate lyase	purB	"Purines, pyrimidines, nucleosides, and nucleotides"	78.1	+	75.8	0	11	yes
3D7	EC1328	3	D7	D	7	1285107	1	hypothetical protein			30.6	+	410	0	0	
3F8	EC1518	3	F8	F	8	1360861	1	conserved hypothetical protein		Hypothetical proteins	65.9	+	270	0	0	
3B5	EC1369	3	B5	B	5	1371668	1	aspartate aminotransferase	aspC	Amino acid biosynthesis	89.4	-	117	65.9	0	
3B12	EC1650	3	B12	B	12	1571683	1	RstB2 protein	rstB2	Mobile and extrachromosomal element functions	20.6	-	1061	509	2	
3D10	EC1729	3	D10	D	10	1584190	1	"transposase OrfAB, subunit B"	orfB	Mobile and extrachromosomal element functions	78.2	-	597	410	0	
3D1	EC1309	3	D1	D	1	1620650	1	"phospho-2-dehydro-3-deoxyheptonate aldolase, trp-sensitive"	aroH	Amino acid biosynthesis	40.1	-	295	0	0	
3H11	EC1560	3	H11	H	11	1640723	1	molybdopterin-guanine dinucleotide biosynthesis protein A	mobA	"Biosynthesis of cofactors, prosthetic groups, and carriers"	7	+	246	0	0	
3A7	EC1276	3	A7	A	7	1646626	1	conserved hypothetical protein		Hypothetical proteins	18.7	-	1027	0	0	
3H1	EC1397	3	H1	H	1	1667980	1	conserved hypothetical protein		Hypothetical proteins	2.4	-	1009	0	0	
3D12	EC1734	3	D12	D	12	1686993	1	conserved hypothetical protein		Hypothetical proteins	90.5	+	188	188	1	yes
3G9	EC1635	3	G9	G	9	1754785	1	conserved hypothetical protein		Hypothetical proteins	11.5	-	801	0	1	
3A12	EC1596	3	A12	A	12	1882070	1	"transcriptional regulator, TetR family"		Regulatory functions	43.4	+	75.8	0	0	
3A1	EC1221	3	A1	A	1	1927039	1	"N-acetylneuraminate lyase, putative"		Central intermediary metabolism	6.1	-	749	0	0	
3E9	EC1599	3	E9	E	9	1931962	1	N-acetylglucosamine-6-phosphate deacetylase	nagA-2	Central intermediary metabolism	18.8	-	184	0	0	
3C2	EC1443	3	C2	C	2	1940583	1	hypothetical protein			30.2	+	589	0	0	
